lon,lat,count,
106.694687,26.564808,474,
106.633034,26.676849,454,
106.713478,26.578342,317,
106.654526,26.592924,316,
106.873672,26.732695,309,
106.669342,26.583996,285,
106.671478,26.59326,264,
106.713478,26.578342,258,
106.762123,26.630928,236,
106.689247,26.558886,228,
106.723953,26.60166,226,
106.713478,26.578342,206,
106.638451,26.605957,189,
106.704147,26.550171,179,
106.699753,26.588825,165,
106.665817,26.428902,163,
106.732704,26.505184,152,
106.698158,26.565378,138,
106.691338,26.559229,137,
106.684227,26.559587,124,
106.725754,26.4655,123,
106.720016,26.602135,119,
106.896339,27.172375,118,
106.681549,26.508089,117,
106.873672,26.732695,110,
106.645348,26.612413,106,
106.73774,26.560503,100,
106.705215,26.573921,97,
106.620247,26.600557,97,
106.658134,26.612556,97,
106.711037,26.522951,97,
106.696487,26.583597,95,
106.766891,26.640644,85,
106.696014,26.593328,84,
106.978302,27.046478,82,
106.713478,26.578342,82,
106.718407,26.600471,79,
106.651634,26.577604,78,
106.721497,26.585793,77,
106.763489,27.23316,77,
106.709,26.565374,77,
106.747734,26.593128,76,
106.641769,26.655354,76,
106.730026,26.57564,76,
106.706802,26.652107,75,
106.712852,26.573538,75,
106.713478,26.578342,74,
106.697357,26.509306,74,
106.724426,26.560286,73,
106.711052,26.600554,71,
106.697136,26.47839,70,
106.713478,26.578342,69,
106.62365,26.628647,63,
106.713478,26.578342,63,
106.713478,26.578342,63,
106.713478,26.578342,63,
106.697884,26.574417,62,
106.623993,26.63793,62,
106.677254,26.520472,61,
106.707085,26.601982,58,
106.713478,26.578342,57,
106.715965,26.573742,56,
106.688431,26.529491,56,
106.75296,26.406002,55,
106.712433,26.580194,55,
106.766083,26.611912,53,
106.525711,27.142696,53,
106.713478,26.578342,53,
106.713394,26.58301,53,
106.728828,26.571405,52,
106.704315,26.586245,51,
106.709991,26.594919,51,
106.713478,26.578342,50,
106.713478,26.578342,49,
106.655052,26.674282,48,
106.611702,26.624043,48,
106.614334,26.68811,48,
106.713478,26.578342,47,
106.605652,26.612225,46,
106.641747,26.682751,45,
106.701881,26.609137,45,
106.695511,26.581831,44,
106.661522,26.7216,43,
106.705109,26.574856,43,
106.680786,26.582808,43,
106.696823,26.538803,43,
106.649704,26.645582,43,
106.727692,26.571327,42,
106.670891,26.685125,42,
106.713478,26.578342,41,
106.692215,26.562237,41,
106.715981,26.590023,41,
106.676643,26.496195,41,
106.731934,26.61758,41,
106.642616,26.673193,39,
106.774536,26.551966,39,
106.660149,26.508476,38,
106.713478,26.578342,38,
106.718697,26.565548,38,
106.713478,26.578342,38,
106.624535,26.676973,37,
106.739235,26.557919,36,
106.778557,26.539078,36,
106.713478,26.578342,36,
106.726768,26.562946,36,
106.62632,26.646358,35,
106.713478,26.578342,35,
106.718422,26.564392,35,
106.682396,26.624092,34,
106.71302,26.563467,34,
106.684654,26.579327,34,
106.713478,26.578342,33,
106.763489,27.23316,33,
106.734818,26.545599,32,
106.660477,26.595093,32,
106.702072,26.585878,32,
106.71608,26.577761,32,
106.732834,26.596632,31,
106.758774,26.597473,31,
106.713478,26.578342,31,
106.753036,26.630733,31,
106.523735,26.572842,31,
106.663452,26.65098,31,
106.517258,27.110754,31,
106.714729,26.584965,31,
106.764801,26.567093,31,
106.71743,26.576881,30,
106.707787,26.579903,30,
106.694511,26.558603,30,
106.713478,26.578342,30,
106.721954,26.562857,29,
106.713478,26.578342,29,
106.668823,26.582987,29,
106.631378,26.603106,29,
106.713478,26.578342,29,
106.689568,26.530468,29,
106.721703,26.598305,28,
106.717667,26.575972,28,
106.69828,26.577724,28,
106.713478,26.578342,28,
106.693703,26.524946,28,
106.713478,26.578342,28,
106.59021,26.628883,27,
106.622475,26.620193,27,
106.710976,26.567781,27,
106.733955,26.57468,27,
106.74025,26.486959,26,
106.903244,27.221123,26,
106.71936,26.508871,26,
106.718956,26.586994,25,
106.707787,26.507906,25,
106.71003,26.577393,25,
106.74044,26.555471,24,
106.677208,26.413132,24,
106.816856,26.638985,24,
106.711456,26.53347,24,
106.64225,26.660774,23,
106.70562,26.577229,23,
106.713058,26.578451,23,
106.713478,26.578342,22,
106.610023,26.64571,22,
106.703644,26.614153,22,
106.713478,26.578342,22,
106.658195,26.661566,21,
106.696579,26.508501,21,
106.724365,26.606714,21,
106.713478,26.578342,21,
106.712418,26.580004,21,
106.700302,26.567163,20,
106.626633,26.623713,20,
106.666161,26.58716,20,
106.713478,26.578342,20,
106.758904,26.56374,20,
106.710014,26.558208,20,
106.873672,26.732695,20,
106.714592,26.611828,20,
106.610336,26.634024,20,
106.680328,26.502781,20,
106.634766,26.645092,19,
106.633003,26.65469,19,
106.713478,26.578342,19,
106.624344,26.707096,18,
106.708229,26.548107,18,
106.713478,26.578342,18,
106.746574,26.564716,18,
106.559959,26.444769,17,
106.694687,26.564808,17,
106.725113,26.614103,17,
106.523735,26.572842,17,
106.587845,26.655788,17,
106.719147,26.582823,17,
106.62429,26.670687,17,
106.896339,27.172375,17,
106.611488,26.623804,17,
106.608017,26.652376,17,
106.691994,26.571043,17,
106.525185,26.683924,16,
106.660118,26.555899,16,
106.686081,26.550331,16,
106.618156,26.691158,16,
106.903244,27.221123,16,
106.696671,26.577744,16,
106.7332,26.460752,16,
106.735039,26.56225,16,
106.706207,26.553402,16,
106.722481,26.610085,16,
106.717857,26.572397,16,
106.695183,26.518324,16,
106.713478,26.578342,16,
106.711815,26.557262,16,
106.587257,26.609522,15,
106.735626,26.582714,15,
106.670036,26.578894,15,
106.719269,26.600451,15,
106.76078,26.643312,15,
106.720154,26.562033,15,
106.575752,26.582638,15,
106.703903,26.527901,15,
106.713478,26.578342,15,
106.61319,26.623755,15,
106.713478,26.578342,14,
106.713478,26.578342,14,
106.731995,26.531908,14,
106.713478,26.578342,14,
106.685501,26.588625,14,
106.73539,26.543547,14,
106.643196,26.58156,14,
106.75296,26.406002,14,
106.711555,26.569,14,
106.690323,26.574684,14,
106.673576,26.54388,14,
106.713478,26.578342,14,
106.714516,26.572313,14,
106.712891,26.613363,13,
106.714302,26.583292,13,
106.677414,26.519163,13,
106.695992,26.511396,13,
106.708939,26.513901,13,
106.702194,26.503443,13,
106.734947,26.395664,13,
106.713478,26.578342,13,
107.080948,26.895155,13,
106.713478,26.578342,13,
106.896339,27.172375,13,
106.753365,26.588911,13,
106.701248,26.55583,13,
106.705055,26.595625,12,
106.328789,26.511824,12,
106.644493,26.668633,12,
106.690872,26.517221,12,
106.708534,26.587341,12,
106.670792,26.410463,12,
106.693871,26.582073,12,
106.713478,26.578342,12,
106.631142,26.665501,12,
106.687813,26.601088,12,
106.711922,26.586645,12,
106.711922,26.586645,12,
106.694359,26.324745,12,
106.69149,26.586901,12,
106.691948,26.552721,12,
106.896339,27.172375,12,
106.676414,26.501669,12,
106.710197,26.583626,12,
106.716637,26.671925,12,
106.709015,26.589565,12,
106.710777,26.60256,12,
106.675087,26.613211,11,
106.193657,26.841383,11,
106.716629,26.512934,11,
106.713478,26.578342,11,
106.715721,26.573236,11,
106.735268,26.507067,11,
106.706413,26.568016,11,
106.620102,26.60989,11,
106.587845,26.655788,11,
106.621445,26.620359,11,
106.710999,26.591383,11,
106.713478,26.578342,11,
106.687813,26.601088,11,
106.624039,26.674351,11,
106.686234,26.552668,11,
106.705627,26.577024,11,
106.713478,26.578342,11,
106.610199,26.61244,11,
106.605942,26.390293,11,
106.670792,26.410463,11,
106.689323,26.509867,11,
106.776237,26.55406,11,
106.713478,26.578342,10,
106.621872,26.630032,10,
106.713478,26.578342,10,
106.372063,26.639034,10,
106.713478,26.578342,10,
106.713478,26.578342,10,
106.713478,26.578342,10,
106.713478,26.578342,10,
106.63456,26.646338,10,
106.713478,26.578342,10,
106.641769,26.655354,10,
106.726624,26.589174,10,
106.714516,26.585289,10,
106.715607,26.566334,10,
106.701515,26.562113,10,
106.671272,26.417274,10,
106.770424,26.620787,10,
106.719162,26.578821,10,
106.605942,26.390293,10,
106.713478,26.578342,10,
106.458313,26.979321,10,
106.54985,26.656837,10,
106.703758,26.597631,9,
106.713478,26.578342,9,
106.642326,26.672733,9,
106.620262,26.609875,9,
106.704155,27.117645,9,
106.713478,26.578342,9,
106.713478,26.578342,9,
106.74971,26.576859,9,
106.713478,26.578342,9,
106.622475,26.620193,9,
106.725395,26.566786,9,
106.704857,26.519358,9,
106.627136,26.569916,9,
106.693764,26.595812,9,
106.630142,26.64765,9,
106.60025,26.613731,9,
106.762123,26.630928,9,
106.896339,27.172375,9,
106.896339,27.172375,9,
106.776695,26.636515,9,
106.713478,26.578342,9,
106.690979,26.575729,9,
106.713478,26.578342,8,
106.616875,26.628714,8,
106.709785,26.551121,8,
106.563095,27.093826,8,
106.720169,26.579826,8,
106.422607,26.522638,8,
106.719208,26.595091,8,
106.642693,26.604078,8,
106.713478,26.578342,8,
106.717033,26.569872,8,
106.713478,26.578342,8,
106.657776,26.611137,8,
106.70031,26.50458,8,
106.667984,26.408731,8,
106.768814,27.244274,8,
106.713478,26.578342,8,
106.727051,26.559299,8,
106.713478,26.578342,8,
106.682274,26.374565,8,
106.896339,27.172375,8,
106.896339,27.172375,8,
106.873672,26.732695,8,
106.713478,26.578342,8,
106.725616,26.588398,8,
106.619179,26.328941,8,
106.713478,26.578342,7,
106.666451,26.585548,7,
106.713478,26.578342,7,
106.711922,26.571402,7,
106.713478,26.578342,7,
106.713478,26.578342,7,
106.735626,26.582714,7,
106.707977,26.573576,7,
106.71003,26.579874,7,
106.688316,26.619968,7,
106.713478,26.578342,7,
106.608879,26.671062,7,
106.713478,26.578342,7,
106.705544,26.534979,7,
106.698273,26.568829,7,
106.677208,26.413132,7,
106.696503,26.508442,7,
106.634026,26.675346,7,
106.713478,26.578342,7,
106.713478,26.578342,7,
106.713478,26.578342,7,
106.713478,26.578342,7,
107.009972,27.297682,7,
106.645546,26.583773,7,
106.630142,26.64765,7,
106.706589,26.571123,7,
106.896339,27.172375,7,
106.896339,27.172375,7,
106.896339,27.172375,7,
106.675034,26.422853,7,
106.688889,26.558643,7,
106.711205,26.600754,7,
106.713478,26.578342,7,
106.713478,26.578342,7,
106.714333,26.57291,7,
106.713478,26.578342,6,
106.699593,26.591599,6,
106.631462,26.683058,6,
106.705437,26.58655,6,
106.615196,26.458466,6,
106.816666,26.640715,6,
106.690262,26.550484,6,
106.72966,26.581539,6,
106.626556,26.603853,6,
106.713478,26.578342,6,
106.713478,26.578342,6,
106.713478,26.578342,6,
106.713478,26.578342,6,
106.69516,26.569145,6,
106.670258,26.409819,6,
106.697731,26.517868,6,
106.713478,26.578342,6,
106.584557,26.586281,6,
106.725647,26.595631,6,
106.621742,26.637976,6,
106.621994,26.653788,6,
106.713478,26.578342,6,
106.713478,26.578342,6,
106.707848,26.585217,6,
106.662827,26.689226,6,
106.699425,26.5392,6,
106.687813,26.601088,6,
106.720459,26.549139,6,
106.713478,26.578342,6,
106.713478,26.578342,6,
106.712273,26.592794,6,
106.70211,26.583828,6,
106.672035,26.517393,6,
106.69619,26.570965,6,
106.709541,26.575865,6,
106.700401,26.619164,6,
106.652962,26.613407,6,
106.713478,26.578342,6,
106.713478,26.578342,6,
106.791191,26.535374,6,
106.701881,26.609137,6,
106.896339,27.172375,6,
106.711128,26.583845,6,
106.729645,26.577702,6,
106.644806,26.697342,6,
106.713478,26.578342,5,
106.713478,26.578342,5,
106.713478,26.578342,5,
106.71743,26.576881,5,
106.71743,26.576881,5,
106.713478,26.578342,5,
106.656113,26.687569,5,
106.709961,26.582104,5,
106.647934,26.690889,5,
106.791534,26.504086,5,
106.6894,26.557339,5,
106.672745,26.42971,5,
106.686691,26.562954,5,
106.713478,26.578342,5,
106.713478,26.578342,5,
106.705956,26.589622,5,
106.796448,26.637022,5,
106.626617,26.677519,5,
106.740158,26.566738,5,
106.631927,26.677397,5,
106.713478,26.578342,5,
106.627335,26.577164,5,
106.616791,26.631199,5,
106.6259,26.631792,5,
106.633797,26.606878,5,
106.634453,26.590525,5,
106.633797,26.606878,5,
106.623085,26.71176,5,
106.687813,26.601088,5,
106.713493,26.591028,5,
106.721748,26.577696,5,
106.702972,26.590935,5,
106.702972,26.590935,5,
106.670784,26.580011,5,
106.696739,26.73176,5,
106.696739,26.73176,5,
106.713478,26.578342,5,
106.713478,26.578342,5,
106.700691,26.579603,5,
106.713478,26.578342,5,
106.713478,26.578342,5,
106.713478,26.578342,5,
106.675568,26.427696,5,
106.713478,26.578342,5,
106.642563,26.616751,5,
106.874229,26.59799,5,
106.713478,26.578342,5,
106.660042,26.582111,5,
106.672707,26.588068,5,
106.698227,26.575706,5,
106.701584,26.577066,5,
106.75293,26.588957,5,
106.668556,26.47438,5,
106.665833,26.587345,4,
106.703758,26.597631,4,
106.713478,26.578342,4,
106.656097,26.693487,4,
106.725029,26.5965,4,
106.675652,26.442024,4,
106.713478,26.578342,4,
106.713478,26.578342,4,
106.709785,26.551121,4,
106.629883,26.685696,4,
106.713478,26.578342,4,
106.715691,26.68771,4,
106.663177,26.575644,4,
106.656113,26.687569,4,
106.713478,26.578342,4,
106.422607,26.522638,4,
106.700302,26.567163,4,
106.675087,26.613211,4,
106.776398,26.556984,4,
106.689896,26.696011,4,
106.713478,26.578342,4,
106.713478,26.578342,4,
106.713478,26.578342,4,
106.697189,26.481056,4,
106.713478,26.578342,4,
106.713478,26.578342,4,
106.660629,26.436087,4,
106.698242,26.526424,4,
106.724426,26.560286,4,
106.670792,26.639412,4,
106.713478,26.578342,4,
106.630142,26.64765,4,
106.625572,26.599075,4,
106.713478,26.578342,4,
106.753838,26.532093,4,
106.800209,26.540691,4,
106.734772,26.534588,4,
106.72142,26.60479,4,
106.644951,26.680933,4,
106.713478,26.578342,4,
106.619598,26.655811,4,
106.713478,26.578342,4,
106.725555,26.601501,4,
106.713478,26.578342,4,
106.630142,26.64765,4,
106.758415,26.549013,4,
106.71125,26.579899,4,
106.713478,26.578342,4,
107.009972,27.297682,4,
106.611,26.46781,4,
106.612808,26.613518,4,
106.699066,26.521275,4,
106.713478,26.578342,4,
106.638779,26.682695,4,
106.714668,26.577244,4,
106.708427,26.486496,4,
106.736443,26.591801,4,
106.873672,26.732695,4,
106.896339,27.172375,4,
106.705154,26.534538,4,
106.761177,26.553411,4,
106.608017,26.652376,4,
106.670891,26.685125,4,
106.61657,26.680517,4,
106.713478,26.578342,3,
106.70266,26.599695,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.504425,26.769438,3,
106.765602,26.634569,3,
106.681198,26.587034,3,
106.67289,26.426933,3,
106.624634,26.69446,3,
106.713478,26.578342,3,
106.713272,26.432577,3,
106.731827,27.156282,3,
106.623474,26.573393,3,
107.136871,27.224865,3,
106.682396,26.624092,3,
106.662819,26.602882,3,
106.713478,26.578342,3,
106.734818,26.545599,3,
106.734818,26.545599,3,
106.705902,26.580437,3,
106.647926,26.616529,3,
106.796989,26.544811,3,
106.710045,26.575588,3,
106.689484,26.547905,3,
106.713478,26.578342,3,
106.365883,26.494011,3,
106.747986,26.62339,3,
106.627579,26.630226,3,
106.705406,26.579285,3,
106.65612,26.691145,3,
106.703896,26.573994,3,
106.713478,26.578342,3,
106.685501,26.588625,3,
106.608879,26.671062,3,
106.713478,26.578342,3,
106.705544,26.534979,3,
106.723373,26.542017,3,
106.651276,26.616699,3,
106.713478,26.578342,3,
106.709854,26.566055,3,
106.698273,26.568829,3,
106.70491,26.435534,3,
106.676292,26.459194,3,
106.364899,26.781099,3,
106.713478,26.578342,3,
106.73539,26.543547,3,
106.713478,26.578342,3,
106.675034,26.422853,3,
106.713478,26.578342,3,
106.646805,26.639296,3,
106.644089,26.637243,3,
106.67598,26.430107,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.575752,26.582638,3,
106.625633,26.606936,3,
106.713478,26.578342,3,
106.624359,26.601307,3,
106.626122,26.634977,3,
106.654434,26.531471,3,
106.713478,26.578342,3,
106.666183,26.702688,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.614197,26.631264,3,
106.662399,26.65284,3,
106.711769,26.615089,3,
106.661087,26.594246,3,
106.778557,26.539078,3,
106.711525,26.582512,3,
106.644951,26.680933,3,
106.712662,26.606632,3,
106.697205,26.439362,3,
106.746918,26.447689,3,
106.713478,26.578342,3,
106.629608,26.673716,3,
106.681595,26.540396,3,
106.704147,26.550171,3,
106.791191,26.535374,3,
106.727699,26.503181,3,
106.637405,26.990185,3,
106.713478,26.578342,3,
106.696579,26.508501,3,
106.724617,26.585808,3,
106.683357,26.589138,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.695259,26.590057,3,
106.743935,26.340658,3,
106.470276,26.551289,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.613663,26.615076,3,
106.713478,26.578342,3,
106.493584,26.943615,3,
106.723465,26.583,3,
106.713478,26.578342,3,
106.661087,26.594246,3,
106.600746,26.457312,3,
106.712921,26.612606,3,
106.639282,26.600107,3,
106.726768,26.562946,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.495285,26.807076,3,
106.733078,26.572252,3,
106.713478,26.578342,3,
106.710175,26.582043,3,
106.798286,26.546122,3,
106.713478,26.578342,3,
106.654198,26.683914,3,
106.713478,26.578342,3,
106.6091,26.592314,3,
106.713478,26.578342,3,
106.721588,26.569923,3,
106.348442,26.816587,3,
106.713478,26.578342,3,
106.655693,26.479408,3,
107.056549,26.916967,3,
106.703392,26.58009,3,
106.713478,26.578342,3,
106.713478,26.578342,3,
106.67318,26.560028,3,
106.908134,27.096773,3,
106.647003,26.624058,3,
106.661934,26.625347,3,
106.665863,26.453056,3,
106.626633,26.623713,3,
106.660835,26.496407,3,
106.711815,26.557262,3,
106.874229,26.59799,3,
106.702698,26.553286,3,
106.709427,26.587549,3,
106.624535,26.676973,3,
106.711037,26.522951,3,
106.458313,26.979321,3,
106.555641,26.656746,3,
106.716278,26.571924,3,
106.633034,26.676849,2,
106.694687,26.564808,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.805832,26.591085,2,
106.611198,26.61932,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.724823,26.576601,2,
106.633034,26.676849,2,
106.623528,26.681202,2,
106.641747,26.682751,2,
106.725029,26.5965,2,
106.717834,26.604099,2,
106.696098,26.612944,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.654526,26.592924,2,
106.713478,26.578342,2,
106.701546,26.589918,2,
106.714233,26.547215,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.686691,26.562954,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.717224,26.578436,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.634895,26.589556,2,
106.620567,26.646929,2,
106.615768,26.618315,2,
106.71978,26.571102,2,
106.328789,26.511824,2,
106.671097,26.641851,2,
106.671333,26.646412,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.72966,26.581539,2,
106.736649,26.545851,2,
106.707977,26.573576,2,
106.707977,26.573576,2,
106.683273,26.669699,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.626556,26.603853,2,
106.705193,26.575735,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.690872,26.517221,2,
106.707977,26.573576,2,
106.813087,26.295555,2,
106.713478,26.578342,2,
106.700806,26.618265,2,
106.722458,26.572739,2,
106.661324,26.594971,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.706367,26.595064,2,
106.422607,26.522638,2,
106.698357,26.499851,2,
106.713478,26.578342,2,
106.711143,26.577768,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.707977,26.573576,2,
106.68454,26.557634,2,
106.694687,26.564808,2,
106.694687,26.564808,2,
106.689247,26.558886,2,
106.673698,26.46669,2,
106.668198,26.322058,2,
106.713478,26.578342,2,
106.660629,26.436087,2,
106.667984,26.408731,2,
106.675835,26.432987,2,
106.611,26.46781,2,
106.675568,26.427696,2,
106.713478,26.578342,2,
106.71067,26.612314,2,
106.71067,26.612314,2,
106.643875,26.640663,2,
106.686829,26.560621,2,
106.713478,26.578342,2,
106.717033,26.569872,2,
106.700615,26.582352,2,
106.698158,26.565378,2,
106.698158,26.565378,2,
106.662132,26.476692,2,
106.646683,26.574087,2,
106.646233,26.607267,2,
106.713478,26.578342,2,
106.367195,26.574751,2,
106.651222,26.581366,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.624428,26.647596,2,
106.713478,26.578342,2,
106.6091,26.592314,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.62207,26.657286,2,
106.713478,26.578342,2,
106.663452,26.65098,2,
106.903244,27.221123,2,
106.903244,27.221123,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.505394,26.67317,2,
106.540085,26.411207,2,
106.658646,26.708271,2,
106.720909,26.582449,2,
106.713478,26.578342,2,
106.772041,26.649,2,
106.786629,27.240156,2,
106.72142,26.60479,2,
106.700691,26.579603,2,
106.713478,26.578342,2,
106.712662,26.606632,2,
106.646721,26.588083,2,
106.486572,26.771858,2,
106.713478,26.578342,2,
106.65239,26.639196,2,
106.713478,26.578342,2,
106.627548,26.647949,2,
106.687813,26.601088,2,
106.687813,26.601088,2,
106.687813,26.601088,2,
106.688873,26.533894,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.61338,26.674732,2,
106.715965,26.573742,2,
106.690872,26.517221,2,
106.723732,26.55929,2,
106.718697,26.565548,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.703835,26.604342,2,
106.713768,26.586901,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
106.784866,26.704079,2,
106.698402,26.494118,2,
106.713478,26.578342,2,
106.713478,26.578342,2,
